n,time,type
1,2100,iterative
1,900,recursive
2,1200,iterative
2,600,recursive
3,800,iterative
3,400,recursive
4,400,iterative
4,300,recursive
5,500,iterative
5,400,recursive
6,600,iterative
6,400,recursive
7,400,iterative
7,500,recursive
8,300,iterative
8,700,recursive
9,500,iterative
9,500,recursive
10,300,iterative
10,500,recursive
11,300,iterative
11,400,recursive
12,300,iterative
12,600,recursive
13,400,iterative
13,500,recursive
14,300,iterative
14,500,recursive
15,300,iterative
15,900,recursive
16,300,iterative
16,500,recursive
17,300,iterative
17,500,recursive
18,300,iterative
18,11500,recursive
19,400,iterative
19,700,recursive
20,400,iterative
20,600,recursive
21,300,iterative
21,800,recursive
22,300,iterative
22,1000,recursive
23,400,iterative
23,700,recursive
24,300,iterative
24,700,recursive
25,400,iterative
25,800,recursive
26,400,iterative
26,800,recursive
27,400,iterative
27,15700,recursive
28,700,iterative
28,1100,recursive
29,800,iterative
29,1000,recursive
30,600,iterative
30,1100,recursive
31,500,iterative
31,1300,recursive
32,800,iterative
32,1400,recursive
33,800,iterative
33,1100,recursive
34,700,iterative
34,1000,recursive
35,500,iterative
35,1800,recursive
36,500,iterative
36,1200,recursive
37,600,iterative
37,1200,recursive
38,800,iterative
38,1300,recursive
39,500,iterative
39,2500,recursive
40,600,iterative
40,1200,recursive
41,500,iterative
41,1200,recursive
42,500,iterative
42,1600,recursive
43,500,iterative
43,1300,recursive
44,600,iterative
44,1400,recursive
45,1100,iterative
45,1600,recursive
46,800,iterative
46,1400,recursive
47,600,iterative
47,1700,recursive
48,600,iterative
48,1400,recursive
49,600,iterative
49,1500,recursive
50,600,iterative
50,6700,recursive
51,600,iterative
51,300,recursive
52,700,iterative
52,300,recursive
53,600,iterative
53,300,recursive
54,1000,iterative
54,300,recursive
55,600,iterative
55,400,recursive
56,600,iterative
56,400,recursive
57,700,iterative
57,200,recursive
58,600,iterative
58,300,recursive
59,800,iterative
59,500,recursive
60,700,iterative
60,400,recursive
61,600,iterative
61,300,recursive
62,800,iterative
62,400,recursive
63,700,iterative
63,400,recursive
64,1800,iterative
64,500,recursive
65,700,iterative
65,400,recursive
66,700,iterative
66,300,recursive
67,700,iterative
67,300,recursive
68,700,iterative
68,300,recursive
69,700,iterative
69,300,recursive
70,800,iterative
70,300,recursive
71,800,iterative
71,400,recursive
72,800,iterative
72,400,recursive
73,900,iterative
73,400,recursive
74,800,iterative
74,400,recursive
75,900,iterative
75,400,recursive
76,900,iterative
76,400,recursive
77,800,iterative
77,400,recursive
78,1400,iterative
78,400,recursive
79,800,iterative
79,400,recursive
80,1000,iterative
80,500,recursive
81,800,iterative
81,400,recursive
82,800,iterative
82,400,recursive
83,800,iterative
83,400,recursive
84,900,iterative
84,500,recursive
85,900,iterative
85,400,recursive
86,800,iterative
86,400,recursive
87,900,iterative
87,500,recursive
88,1000,iterative
88,500,recursive
89,900,iterative
89,400,recursive
90,1000,iterative
90,400,recursive
91,1400,iterative
91,500,recursive
92,900,iterative
92,400,recursive
93,900,iterative
93,500,recursive
94,1000,iterative
94,400,recursive
95,1000,iterative
95,600,recursive
96,20500,iterative
96,600,recursive
97,1200,iterative
97,500,recursive
98,1200,iterative
98,400,recursive
99,1000,iterative
99,400,recursive
100,1000,iterative
100,400,recursive
101,1600,iterative
101,400,recursive
102,1000,iterative
102,500,recursive
103,1300,iterative
103,500,recursive
104,1100,iterative
104,500,recursive
105,1100,iterative
105,8900,recursive
106,1400,iterative
106,800,recursive
107,1600,iterative
107,700,recursive
108,1500,iterative
108,700,recursive
109,1500,iterative
109,700,recursive
110,1400,iterative
110,800,recursive
111,2300,iterative
111,700,recursive
112,1500,iterative
112,600,recursive
113,1800,iterative
113,1000,recursive
114,1800,iterative
114,700,recursive
115,1500,iterative
115,700,recursive
116,2100,iterative
116,800,recursive
117,1600,iterative
117,600,recursive
118,1700,iterative
118,900,recursive
119,1700,iterative
119,1000,recursive
120,4200,iterative
120,900,recursive
121,1500,iterative
121,600,recursive
122,1500,iterative
122,800,recursive
123,1800,iterative
123,900,recursive
124,2600,iterative
124,1000,recursive
125,1700,iterative
125,900,recursive
126,1800,iterative
126,900,recursive
127,1800,iterative
127,900,recursive
128,3100,iterative
128,800,recursive
129,2000,iterative
129,1000,recursive
130,1900,iterative
130,1000,recursive
131,2100,iterative
131,800,recursive
132,1900,iterative
132,800,recursive
133,2000,iterative
133,900,recursive
134,2100,iterative
134,900,recursive
135,1800,iterative
135,800,recursive
136,3700,iterative
136,1000,recursive
137,700,iterative
137,800,recursive
138,500,iterative
138,800,recursive
139,500,iterative
139,1000,recursive
140,600,iterative
140,1100,recursive
141,500,iterative
141,1000,recursive
142,600,iterative
142,1000,recursive
143,500,iterative
143,900,recursive
144,600,iterative
144,800,recursive
145,500,iterative
145,900,recursive
146,500,iterative
146,2500,recursive
147,500,iterative
147,900,recursive
148,500,iterative
148,1000,recursive
149,500,iterative
149,1000,recursive
150,500,iterative
150,900,recursive
151,500,iterative
151,900,recursive
152,500,iterative
152,900,recursive
153,500,iterative
153,5900,recursive
154,500,iterative
154,500,recursive
155,400,iterative
155,400,recursive
156,400,iterative
156,400,recursive
157,400,iterative
157,300,recursive
158,300,iterative
158,400,recursive
159,400,iterative
159,400,recursive
160,500,iterative
160,400,recursive
161,400,iterative
161,400,recursive
162,400,iterative
162,300,recursive
163,400,iterative
163,400,recursive
164,400,iterative
164,400,recursive
165,500,iterative
165,400,recursive
166,400,iterative
166,400,recursive
167,400,iterative
167,400,recursive
168,400,iterative
168,500,recursive
169,400,iterative
169,400,recursive
170,500,iterative
170,500,recursive
171,400,iterative
171,400,recursive
172,400,iterative
172,500,recursive
173,500,iterative
173,400,recursive
174,500,iterative
174,500,recursive
175,400,iterative
175,500,recursive
176,400,iterative
176,500,recursive
177,500,iterative
177,500,recursive
178,400,iterative
178,400,recursive
179,500,iterative
179,500,recursive
180,400,iterative
180,500,recursive
181,1300,iterative
181,500,recursive
182,400,iterative
182,500,recursive
183,500,iterative
183,500,recursive
184,400,iterative
184,500,recursive
185,500,iterative
185,400,recursive
186,500,iterative
186,500,recursive
187,400,iterative
187,500,recursive
188,400,iterative
188,400,recursive
189,500,iterative
189,500,recursive
190,500,iterative
190,500,recursive
191,400,iterative
191,500,recursive
192,600,iterative
192,600,recursive
193,400,iterative
193,500,recursive
194,500,iterative
194,500,recursive
195,500,iterative
195,500,recursive
196,500,iterative
196,500,recursive
197,500,iterative
197,500,recursive
198,500,iterative
198,500,recursive
199,500,iterative
199,500,recursive
200,400,iterative
200,500,recursive
201,500,iterative
201,400,recursive
202,500,iterative
202,500,recursive
203,500,iterative
203,600,recursive
204,500,iterative
204,600,recursive
205,600,iterative
205,500,recursive
206,500,iterative
206,500,recursive
207,500,iterative
207,500,recursive
208,500,iterative
208,500,recursive
